,Unnamed: 0,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long,year,predict,predicton_diff
89,89,3216 15th Ave W Unit C,98119,799950,3,2.25,1556.0,2019.0,http://www.redfin.com/WA/Seattle/3216-15th-Ave-W-98119/unit-C/home/170195042,47.6490237,-122.3759174,2019,988282.8176914493,-188332.8176914493
327,327,5775 Highland Dr,98006,1490000,5,3.75,4020.0,1983.0,http://www.redfin.com/WA/Bellevue/5775-Highland-Dr-98006/home/235547,47.5513245,-122.1578347,2019,1681240.3881156777,-191240.38811567775
281,281,6729 Mary Ave NW,98117,699950,3,2.5,1755.0,2019.0,http://www.redfin.com/WA/Seattle/6729-Mary-Ave-NW-98117/home/170141476,47.6786848,-122.3763631,2019,893449.863826348,-193499.86382634798
88,88,3216 15th Ave W Unit A,98119,739950,2,2.25,1438.0,2019.0,http://www.redfin.com/WA/Seattle/3216-15th-Ave-W-98119/unit-A/home/170195043,47.6490237,-122.3759174,2019,936872.9641382471,-196922.96413824707
34,34,28618 194th Ave SE,98042,695000,4,3.0,4200.0,1978.0,http://www.redfin.com/WA/Kent/28618-194th-Ave-SE-98042/home/381640,47.3439465,-122.0828386,2019,898463.8470545448,-203463.84705454484
13,13,4106 Factoria Blvd SE #305,98006,450000,2,1.75,1114.0,1984.0,http://www.redfin.com/WA/Bellevue/4106-Factoria-Blvd-SE-98006/unit-305/home/103961133,47.57271160000001,-122.1675669,2019,653903.2169694098,-203903.21696940984
171,171,13901 Somerset Ln SE,98006,990000,3,2.5,2840.0,1969.0,http://www.redfin.com/WA/Bellevue/13901-Somerset-Ln-SE-98006/home/240879,47.5648645,-122.1550379,2019,1194021.821002139,-204021.821002139
291,291,1200 Boylston Ave #603,98101,310000,1,1.0,570.0,1960.0,http://www.redfin.com/WA/Seattle/1200-Boylston-Ave-98101/unit-603/home/15577,47.6124744,-122.3229585,2019,514406.3018361889,-204406.30183618888
47,47,132 N 132nd #102,98133,250000,1,1.5,1050.0,1978.0,http://www.redfin.com/WA/Seattle/132-N-132nd-St-98133/unit-102/home/32677,47.7253204,-122.3566336,2019,454868.31746283785,-204868.31746283785
217,217,6747 15th Ave NW,98117,779950,2,3.0,2072.0,2019.0,http://www.redfin.com/WA/Seattle/6747-15th-Ave-NW-98117/home/170164039,47.6791514,-122.37700890000002,2019,990078.1846756028,-210128.18467560282
250,250,701 Galer St #812,98109,675000,2,2.25,1329.0,1992.0,http://www.redfin.com/WA/Seattle/701-Galer-St-98109/unit-812/home/69411,47.6322026,-122.3429563,2019,890794.121632027,-215794.12163202697
305,305,25739 135th Ave SE #71,98042,75000,2,1.0,980.0,1977.0,http://www.redfin.com/WA/Kent/25739-135th-Ave-SE-98042/unit-71/home/21686685,47.37034050000001,-122.1630177,2019,295689.3184868089,-220689.31848680892
224,224,4561 33rd Ave S,98118,715000,4,3.75,2480.0,1905.0,http://www.redfin.com/WA/Seattle/4561-33rd-Ave-S-98118/home/172237,47.5610912,-122.2912112,2019,939568.923477322,-224568.92347732198
183,183,1431 NW Richmond Beach Rd #9,98177,375000,2,1.5,1175.0,1979.0,http://www.redfin.com/WA/Shoreline/1431-NW-Richmond-Beach-Rd-98177/unit-9/home/44633,47.7689833,-122.3762273,2019,603091.4666176162,-228091.46661761624
289,289,3726 SW 313th St,98003,589950,4,3.5,3330.0,1987.0,http://www.redfin.com/WA/Federal-Way/3726-SW-313th-St-98023/home/352668,47.320045,-122.379552,2019,818216.1001302564,-228266.10013025638
330,330,20615 87th Ave SW,98070,230000,2,1.0,840.0,1990.0,http://www.redfin.com/WA/Vashon/20615-Vashon-Ave-98070/home/2059867,47.4186278,-122.44575890000002,2019,460853.3238478169,-230853.3238478169
197,197,31600 126th Ave SE #109,98092,110000,3,2.0,1527.0,1986.0,http://www.redfin.com/WA/Auburn/31600-126th-Ave-SE-98092/unit-109/home/170065533,47.31935770000001,-122.17330049999998,2019,343936.99510942673,-233936.99510942673
176,176,2001 13th Ave W,98119,689950,2,1.75,1366.0,2019.0,http://www.redfin.com/WA/Seattle/2001-13th-Ave-W-98119/home/170176328,47.6369948,-122.3741934,2019,925490.5108568097,-235540.51085680968
257,257,22477 SE 42nd Ter SE,98029,450000,2,1.75,1604.0,1987.0,http://www.redfin.com/WA/Issaquah/22477-SE-42nd-Ter-98029/unit-1184/home/41278,47.5696937,-122.0390061,2019,685622.3725357268,-235622.37253572675
285,285,6638 119th Ave SE,98006,958000,3,2.75,2800.0,1978.0,http://www.redfin.com/WA/Bellevue/6638-119th-Ave-SE-98006/home/415813,47.54291110000001,-122.1814892,2019,1197875.1407755096,-239875.14077550964
294,294,3226 S 184th St #261,98188,75000,2,1.75,1100.0,1969.0,http://www.redfin.com/WA/Seattle/3226-S-184th-St-98188/unit-261/home/145241744,47.4383044,-122.289963,2019,324945.2224374404,-249945.22243744042
10,10,18 Dravus St #302,98109,437000,1,1.0,716.0,1999.0,http://www.redfin.com/WA/Seattle/18-Dravus-St-98109/unit-302/home/51536,47.6488661,-122.3568176,2019,696091.1534086973,-259091.15340869734
87,87,3212 15th Ave W Unit B,98119,649950,2,1.5,1410.0,2019.0,http://www.redfin.com/WA/Seattle/3212-15th-Ave-W-98119/unit-B/home/170195044,47.648949,-122.3759169,2019,909284.3845148867,-259334.38451488665
150,150,535 20th Ave E #304,98112,499000,2,1.0,961.0,1923.0,http://www.redfin.com/WA/Seattle/535-20th-Ave-E-98112/unit-304/home/2823,47.6242384,-122.3063712,2019,758790.7633298693,-259790.76332986925
164,164,5614 SW Admiral Way,98116,539999,2,1.75,1440.0,1908.0,http://www.redfin.com/WA/Seattle/5614-SW-Admiral-Way-98116/home/149560,47.5773169,-122.4042851,2019,800424.3712398054,-260425.37123980536
187,187,201 Union Ave SE #121,98059,99950,2,1.75,1050.0,1978.0,http://www.redfin.com/WA/Renton/201-Union-Ave-SE-98059/unit-121/home/28610891,47.4813408,-122.1643529,2019,360418.9134153569,-260468.9134153569
146,146,2500 S 370th St #111,98003,82500,2,1.75,1392.0,1979.0,http://www.redfin.com/WA/Federal-Way/2500-S-370th-St-98003/unit-111/home/143681787,47.27106120000001,-122.3006935,2019,347508.0389248985,-265008.0389248985
169,169,1420 153rd Ave NE #3714,98007,260000,1,1.0,691.0,1977.0,http://www.redfin.com/WA/Bellevue/1420-153rd-Ave-NE-98007/unit-3714/home/26284,47.6228513,-122.13511509999998,2019,525321.1526064835,-265321.15260648355
326,326,1258 Maple Dr,98022,42500,3,2.0,1258.0,1985.0,http://www.redfin.com/WA/Enumclaw/1258-Maple-Dr-98022/home/103505947,47.1959075,-121.9918568,2019,321393.2340494925,-278893.2340494925
348,348,2500 S 370th St #266,98003,89500,3,1.75,1867.0,1980.0,http://www.redfin.com/WA/Federal-Way/2500-S-370th-St-98003/unit-266/home/56975301,47.27106120000001,-122.3006935,2019,406630.7141319041,-317130.7141319041
99,99,1800 Taylor Ave N #211,98109,379950,2,1.0,798.0,1948.0,http://www.redfin.com/WA/Seattle/1800-Taylor-Ave-N-98109/unit-211/home/72363,47.6352915,-122.3457148,2019,697382.3968456351,-317432.39684563514
117,117,8055 20th Ave NE,98115,889000,4,2.25,2970.0,1950.0,http://www.redfin.com/WA/Seattle/8055-20th-Ave-NE-98115/home/310503,47.68829270000001,-122.3071248,2019,1225706.095079819,-336706.095079819
29,29,2244 13th Ave W #311,98119,264950,1,1.0,546.0,1990.0,http://www.redfin.com/WA/Seattle/2244-13th-Ave-W-98119/unit-311/home/48025,47.6397409,-122.3733122,2019,614393.5335694434,-349443.5335694434
300,300,10515 Woodinville Dr #20,98011,35000,2,1.0,768.0,1971.0,http://www.redfin.com/WA/Bothell/10515-Woodinville-Dr-98011/unit-20/home/167080910,47.7580768,-122.1996656,2019,394156.5245284195,-359156.5245284195
41,41,4455 E Mercer Way,98040,1340000,4,2.5,3182.0,1979.0,http://www.redfin.com/WA/Mercer-Island/4455-E-Mercer-Way-98040/home/257066,47.5660554,-122.2153198,2019,1729294.4599487882,-389294.45994878816
195,195,453 26th Ave E,98112,1349000,4,2.75,2960.0,1978.0,http://www.redfin.com/WA/Seattle/453-26th-Ave-E-98112/home/148234,47.6241568,-122.29911640000002,2019,1753733.149674641,-404733.14967464097
155,155,9641 NE 24th St,98004,3621000,5,5.0,5261.0,2019.0,http://www.redfin.com/WA/Clyde-Hill/9641-NE-24th-St-98004/home/252672,47.6317288,-122.21071709999998,2019,4482813.520832555,-861813.5208325554
156,156,801 E Gwinn Pl,98102,1998000,4,4.25,4250.0,2013.0,http://www.redfin.com/WA/Seattle/801-E-Gwinn-Pl-98102/home/18657218,47.6476466,-122.3217563,2019,2962943.9291959526,-964943.9291959526
59,59,3641 134th Ave NE,98005,4498000,5,5.5,7435.0,2019.0,http://www.redfin.com/WA/Bellevue/3641-134th-Ave-NE-98005/home/429861,47.643664,-122.16321,2019,5971628.913637879,-1473628.9136378793
