,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long
33,2431 7th Ave W,98119,1136000,5,2.0,2480.0,1906.0,http://www.redfin.com/WA/Seattle/2431-7th-Ave-W-98119/home/130719,47.6405322,-122.36659679999998
34,28618 194th Ave SE,98042,695000,4,3.0,4200.0,1978.0,http://www.redfin.com/WA/Kent/28618-194th-Ave-SE-98042/home/381640,47.3439465,-122.08283859999999
35,13331 SE 194th Ct,98058,515000,3,2.75,2210.0,1988.0,http://www.redfin.com/WA/Renton/13331-SE-194th-Ct-98058/home/221615,47.4289301,-122.1626402
36,15150 140th Way SE Unit K103,98058,299950,2,2.5,1447.0,2000.0,http://www.redfin.com/WA/Renton/15150-140th-Way-SE-98058/unit-K103/home/62784,47.467256899999995,-122.1538619
37,13721 Greenwood Ave N Unit B,98133,449950,2,2.5,1070.0,2008.0,http://www.redfin.com/WA/Seattle/13721-Greenwood-Ave-N-98133/unit-B/home/21883741,47.72929,-122.35610700000001
38,22997 Marine View Dr S Unit D102,98198,258000,2,1.0,793.0,1969.0,http://www.redfin.com/WA/Des-Moines/22997-Marine-View-Dr-S-98198/unit-D102/home/28443,47.3957636,-122.3240228
39,34349 SE 39th Pl,98024,1024000,3,3.5,2170.0,2006.0,http://www.redfin.com/WA/Fall-City/34349-SE-39th-Pl-98024/home/464808,47.5756542,-121.8810507
40,1707 NW 59th St #201,98107,450000,2,1.75,838.0,1996.0,http://www.redfin.com/WA/Seattle/1707-NW-59th-St-98107/unit-201/home/18543,47.67140560000001,-122.3793206
41,4455 E Mercer Way,98040,1340000,4,2.5,3182.0,1979.0,http://www.redfin.com/WA/Mercer-Island/4455-E-Mercer-Way-98040/home/257066,47.5660554,-122.21531979999999
42,8553 85th Ave SE,98040,1000000,3,2.5,2164.0,1979.0,http://www.redfin.com/WA/Mercer-Island/8553-85th-Ave-SE-98040/home/257375,47.5259669,-122.22583999999999
43,2322 W Beaver Lake Dr SE,98075,950000,3,1.5,1150.0,1964.0,http://www.redfin.com/WA/Sammamish/2322-W-Beaver-Lake-Dr-SE-98075/home/435636,47.5881719,-122.00278899999999
44,1111 E John St #8,98102,699000,2,1.75,1200.0,1981.0,http://www.redfin.com/WA/Seattle/1111-E-John-St-98102/unit-8/home/70201,47.6197599,-122.31783929999999
45,31712 42nd Ave SW,98023,439999,3,1.75,2870.0,1974.0,http://www.redfin.com/WA/Federal-Way/31712-42nd-Ave-SW-98023/home/354405,47.3172744,-122.3854215
46,3901 243rd Pl SE Unit O-304,98021,255000,1,1.0,739.0,1997.0,http://www.redfin.com/WA/Bothell/3901-243rd-Pl-SE-98021/unit-O304/home/11884597,47.7771979,-122.1774966
47,132 N 132nd #102,98133,250000,1,1.5,1050.0,1978.0,http://www.redfin.com/WA/Seattle/132-N-132nd-St-98133/unit-102/home/32677,47.725320399999994,-122.3566336
48,13415 Little Bear Creek Pl,98072,800000,4,3.0,2180.0,2014.0,http://www.redfin.com/WA/Woodinville/13415-Little-Bear-Creek-Pl-98072/home/55528875,47.768049100000006,-122.1602541
49,515 R St NE,98002,389000,5,2.0,2900.0,1947.0,http://www.redfin.com/WA/Auburn/515-R-St-NE-98002/home/218066,47.313092499999996,-122.20864840000002
50,412 11th Ave Ph -12,98122,438000,1,1.0,765.0,2002.0,http://www.redfin.com/WA/Seattle/412-11th-Ave-98122/unit-12/home/12091576,47.605844,-122.3177169
51,5641 402nd Ave SE,98065,1670340,4,3.75,4350.0,2001.0,http://www.redfin.com/WA/Snoqualmie/5641-402nd-Ave-SE-98065/home/483963,47.549876,-121.808291
52,16331 SE 37th St,98008,1399000,6,3.75,4040.0,2011.0,http://www.redfin.com/WA/Bellevue/16331-SE-37th-St-98008/home/22701169,47.5771125,-122.1214866
53,27001 226th Ave SE,98038,599999,4,2.5,3190.0,2005.0,http://www.redfin.com/WA/Maple-Valley/27001-226th-Ave-SE-98038/home/2085508,47.3596995,-122.0404608
54,4700 242nd St SW,98043,550000,4,2.5,1638.0,1961.0,http://www.redfin.com/WA/Mountlake-Terrace/4700-242nd-St-SW-98043/home/2755012,47.7785709,-122.29646979999998
55,2903 124th Ave NE,98005,1559000,4,2.5,2230.0,1958.0,http://www.redfin.com/WA/Bellevue/2903-124th-Ave-NE-98005/home/508425,47.6359899,-122.17330179999999
56,9348 54th Ave S,98118,435000,4,1.0,2310.0,1907.0,http://www.redfin.com/WA/Seattle/9348-54th-Ave-S-98118/home/176689,47.5175657,-122.26483429999999
57,11603 26th Ave S,99816,550000,5,2.25,2400.0,2011.0,http://www.redfin.com/WA/Burien/11603-26th-Ave-S-98168/home/22649672,47.4991865,-122.2999172
58,14402 SE 40th St,98006,1599950,5,3.0,3362.0,2019.0,http://www.redfin.com/WA/Bellevue/14402-SE-40th-St-98006/home/233616,47.57477960000001,-122.1480652
