,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long
147,12207 47th Ave S,98178,375000,2,1.75,1230.0,1943.0,http://www.redfin.com/WA/Tukwila/12207-47th-Ave-S-98178/home/2064820,47.493970399999995,-122.27515109999999
148,4200 Letitia Ave S,98118,1600000,13,6.0,4500.0,1916.0,http://www.redfin.com/WA/Seattle/4200-Letitia-Ave-S-98118/home/2080351,47.5654272,-122.28939299999999
149,11612 NE 97th St,98033,950000,3,2.25,1610.0,1983.0,http://www.redfin.com/WA/Kirkland/11612-NE-97th-St-98033/home/461947,47.6884539,-122.1853152
150,535 20th Ave E #304,98112,499000,2,1.0,961.0,1923.0,http://www.redfin.com/WA/Seattle/535-20th-Ave-E-98112/unit-304/home/2823,47.624238399999996,-122.3063712
151,26731 196th Ave SE,98042,475000,5,2.75,2330.0,2013.0,http://www.redfin.com/WA/Covington/26731-196th-Ave-SE-98042/home/40264355,47.3614152,-122.08149640000002
152,32824 5th Ave,98010,435000,3,2.5,1968.0,1914.0,http://www.redfin.com/WA/Black-Diamond/32824-5th-Ave-98010/home/379531,47.3068174,-121.99989270000002
153,4233 S 273rd Pl,98001,475000,5,2.75,2510.0,1987.0,http://www.redfin.com/WA/Auburn/4233-S-273rd-Pl-98001/home/208599,47.3563781,-122.2795412
154,33504 18th Ave S,98003,285000,0,,,,http://www.redfin.com/WA/Federal-Way/33504-18th-Ave-S-98003/home/363646,47.301757,-122.311108
155,9641 NE 24th St,98004,3621000,5,5.0,5261.0,2019.0,http://www.redfin.com/WA/Clyde-Hill/9641-NE-24th-St-98004/home/252672,47.6317288,-122.21071709999998
156,801 E Gwinn Pl,98102,1998000,4,4.25,4250.0,2013.0,http://www.redfin.com/WA/Seattle/801-E-Gwinn-Pl-98102/home/18657218,47.6476466,-122.3217563
157,2519 Yale Ave E,98102,1395000,3,2.5,2200.0,2009.0,http://www.redfin.com/WA/Seattle/2519-Yale-Ave-E-98102/home/131865,47.6425704,-122.3273992
158,1038 Washington Pl E,98112,1699980,3,2.25,2899.0,1997.0,http://www.redfin.com/WA/Seattle/1038-Washington-Pl-E-98112/home/139971,47.628459899999996,-122.29311000000001
159,2040 Westlake Ave N,98109,750000,2,0.75,923.0,1984.0,http://www.redfin.com/WA/Seattle/2040-Westlake-Ave-N-98109/home/17065732,47.6374167,-122.3398882
160,2615 S 135th St,98168,589000,4,2.5,2410.0,2004.0,http://www.redfin.com/WA/SeaTac/2615-S-135th-St-98168/home/2085678,47.4822054,-122.2988841
161,14438 6th Ave S,98168,499777,5,1.75,2150.0,1959.0,http://www.redfin.com/WA/Burien/14438-6th-Ave-S-98168/home/193142,47.47313079999999,-122.32511299999999
162,14632 SE 196,98059,790000,3,2.0,2560.0,1953.0,http://www.redfin.com/WA/Renton/14632-196th-Ave-SE-98059/home/248698,47.4704669,-122.07894679999998
163,601 S 227th St Unit 406N,98198,459000,2,1.75,1430.0,1981.0,http://www.redfin.com/WA/Des-Moines/601-S-227th-St-98198/unit-406N/home/67436,47.3971896,-122.3270892
164,5614 SW Admiral Way,98116,539999,2,1.75,1440.0,1908.0,http://www.redfin.com/WA/Seattle/5614-SW-Admiral-Way-98116/home/149560,47.5773169,-122.4042851
165,3032 SW Charlestown St Unit C,98126,684940,3,2.25,1927.0,2019.0,http://www.redfin.com/WA/Seattle/3032-SW-Charlestown-St-98126/unit-C/home/169749049,47.570111,-122.3721414
166,116 Palisades Pl,98047,524950,4,2.5,2557.0,2019.0,http://www.redfin.com/WA/Auburn/116-Palisades-PL-98047/home/170187035,47.261563,-122.250014
167,121 Palisades Pl,98047,524950,4,2.5,2557.0,2019.0,http://www.redfin.com/WA/Auburn/121-Palisades-PL-98047/home/170187012,47.261563,-122.250014
168,3545 Wallingford Ave N,98103,849950,2,1.75,1476.0,2019.0,http://www.redfin.com/WA/Seattle/3545-Wallingford-Ave-N-98103/home/160513933,47.650127000000005,-122.33661399999998
169,1420 153rd Ave NE #3714,98007,260000,1,1.0,691.0,1977.0,http://www.redfin.com/WA/Bellevue/1420-153rd-Ave-NE-98007/unit-3714/home/26284,47.6228513,-122.13511509999998
170,8819 C Midvale Ave N,98103,609999,3,1.75,1482.0,2019.0,http://www.redfin.com/WA/Seattle/8819-Midvale-Ave-N-98103/home/169606085,47.693007,-122.34272209999999
171,13901 Somerset Ln SE,98006,990000,3,2.5,2840.0,1969.0,http://www.redfin.com/WA/Bellevue/13901-Somerset-Ln-SE-98006/home/240879,47.5648645,-122.1550379
172,4142 19th Ave SW,98106,880000,3,3.0,1810.0,2019.0,http://www.redfin.com/WA/Seattle/4142-19th-Ave-SW-98106/home/22237418,47.5653906,-122.35756049999999
173,12037 SE 186th St,98058,525000,4,2.5,2330.0,2004.0,http://www.redfin.com/WA/Renton/12037-SE-186th-St-98058/home/2090554,47.435893,-122.179833
174,5615 S 318th Ct. (Homesite 9),98001,622652,5,2.75,2905.0,2019.0,http://www.redfin.com/WA/Auburn/5615-S-318th-Ct-98001/home/170176396,47.316303999999995,-122.264955
175,8448 SE 37th St,98040,3350000,5,4.0,4388.0,2020.0,http://www.redfin.com/WA/Mercer-Island/8448-SE-37th-St-98040/home/255118,47.5772562,-122.2247024
176,2001 13th Ave W,98119,689950,2,1.75,1366.0,2019.0,http://www.redfin.com/WA/Seattle/2001-13th-Ave-W-98119/home/170176328,47.6369948,-122.37419340000001
177,5623 S 318th Ct. (Homesite 8),98001,651648,5,2.75,3168.0,2019.0,http://www.redfin.com/WA/Auburn/5623-S-318th-Ct-98001/home/170176309,47.316184,-122.26459299999999
178,5631 S 318th Ct. (Homesite 4),98001,649191,5,2.75,3105.0,2019.0,http://www.redfin.com/WA/Auburn/5631-S-318th-Ct-98001/home/169200951,47.316207,-122.2643601
179,2019 S Main St Unit B,98144,679950,3,1.75,1161.0,2019.0,http://www.redfin.com/WA/Seattle/2019-S-Main-St-98144/unit-B/home/170176163,47.599787,-122.3054408
180,1531 B 17th Ave S,98144,604950,2,1.25,1013.0,2019.0,http://www.redfin.com/WA/Seattle/1531-17th-Ave-S-98144/unit-A/home/169442384,47.5890473,-122.31084890000001
181,12407 10th Ln SW,98146,383000,3,3.0,1993.0,2006.0,http://www.redfin.com/WA/Seattle/12407-10th-Ln-SW-98146/unit-B/home/56864758,47.491896600000004,-122.3481053
182,6746 6th Ave NW,98117,1079950,5,2.75,2235.0,1908.0,http://www.redfin.com/WA/Seattle/6746-6th-Ave-NW-98117/home/496672,47.679145,-122.3632305
183,1431 NW Richmond Beach Rd #9,98177,375000,2,1.5,1175.0,1979.0,http://www.redfin.com/WA/Shoreline/1431-NW-Richmond-Beach-Rd-98177/unit-9/home/44633,47.768983299999995,-122.37622730000001
184,18830 SE Petrovitsky Rd,98058,999900,4,2.5,3613.0,2019.0,http://www.redfin.com/WA/Renton/18830-SE-Petrovitsky-Rd-98058/home/145282045,47.423276200000004,-122.0917024
185,220th Pl SE,98092,999900,4,3.5,3756.0,2019.0,http://www.redfin.com/WA/Unknown/220th-Pl-SE-98092/home/45464546,47.319849,-122.170799
186,837 SW 134th St,98146,425000,3,1.75,1250.0,1960.0,http://www.redfin.com/WA/Burien/837-SW-134th-St-98146/home/184808,47.4828094,-122.34628229999998
187,201 Union Ave SE #121,98059,99950,2,1.75,1050.0,1978.0,http://www.redfin.com/WA/Renton/201-Union-Ave-SE-98059/unit-121/home/28610891,47.4813408,-122.16435290000001
188,4527 Lot 30 117th Dr NE,98033,2141995,5,4.5,3744.0,2021.0,http://www.redfin.com/WA/Kirkland/4527-117th-homesite-30-DR-NE-98033/home/167053953,47.651424,-122.182903
189,126 SW 116th St Unit E14,98146,245000,2,1.0,903.0,1982.0,http://www.redfin.com/WA/Seattle/126-SW-116th-St-98146/unit-E14/home/49110,47.499571100000004,-122.33534070000002
190,27015 237th Pl NW #52,98038,644900,4,2.75,2548.0,2020.0,http://www.redfin.com/WA/Maple-Valley/27015-237th-Pl-SE-98038/unit-52/home/168862557,47.3558096,-122.0248973
191,13778 SE 183rd St,98058,679950,5,2.75,2811.0,2020.0,http://www.redfin.com/WA/Renton/13778-SE-183rd-St-98058/home/170173712,47.4385924,-122.1602101
192,13833 SE 183rd St,98058,629950,5,2.75,2273.0,2020.0,http://www.redfin.com/WA/Renton/13833-SE-183rd-St-98058/home/170173711,47.4385939,-122.1604693
193,8824 Densmore Ave N,98103,1199000,3,2.25,2460.0,2011.0,http://www.redfin.com/WA/Seattle/8824-Densmore-Ave-N-98103/home/104686,47.6931308,-122.3374937
194,30567 34th Pl S,98001,49975,0,,,,http://www.redfin.com/WA/Auburn/30567-34th-Pl-S-98001/home/170185138,47.3272556,-122.2905521
195,453 26th Ave E,98112,1349000,4,2.75,2960.0,1978.0,http://www.redfin.com/WA/Seattle/453-26th-Ave-E-98112/home/148234,47.624156799999994,-122.29911640000002
196,4217 Fremont Ave N #3,98103,678000,2,1.75,1231.0,2007.0,http://www.redfin.com/WA/Seattle/4217-Fremont-Ave-N-98103/unit-3/home/12307105,47.658215500000004,-122.35034840000002
197,31600 126th Ave SE #109,98092,110000,3,2.0,1527.0,1986.0,http://www.redfin.com/WA/Auburn/31600-126th-Ave-SE-98092/unit-109/home/170065533,47.319357700000005,-122.17330049999998
198,20230 SE 152nd St,98059,189950,0,,,,http://www.redfin.com/WA/Renton/20230-SE-152nd-St-98059/home/22437590,47.466464,-122.0702966
199,31202 202nd Ave SE,98042,385000,2,1.5,1544.0,1975.0,http://www.redfin.com/WA/Kent/31202-202nd-Ave-SE-98042/home/2081893,47.321659000000004,-122.072055
200,23111 NE 8th St Unit 1 (D),98074,764900,3,2.25,2064.0,2019.0,http://www.redfin.com/WA/Sammamish/23111-NE-8th-St-98074/unit-1-D/home/170170349,47.616493299999995,-122.03053919999999
201,2410 SW 154th Pl,98166,450000,0,,,,http://www.redfin.com/WA/Burien/2410-SW-154th-Pl-98166/home/170169041,47.465149,-122.36399399999999
202,750 11th Ave E #205,98102,438950,1,1.0,525.0,2018.0,http://www.redfin.com/WA/Seattle/750-11th-Ave-E-98102/unit-205/home/170168921,47.6266216,-122.3176642
203,7004 124th Ave NE,98033,1479850,4,3.5,2877.0,2019.0,http://www.redfin.com/WA/Kirkland/7004-124th-Ave-NE-98033/home/170168817,47.668268,-122.17421780000001
204,1090 SW 3rd Pl,98057,539950,5,3.0,2051.0,2002.0,http://www.redfin.com/WA/Renton/1090-SW-3rd-Pl-98057/home/195740,47.480476,-122.23136509999999
205,7002 S 116th St,98178,249900,2,1.0,670.0,1944.0,http://www.redfin.com/WA/Seattle/7002-S-116th-St-98178/home/197896,47.499190000000006,-122.247367
206,1222 NE 184th St,98155,519950,4,1.5,1180.0,1946.0,http://www.redfin.com/WA/Shoreline/1222-NE-184th-St-98155/home/84543,47.76232460000001,-122.31490759999998
207,5937 23rd Ave S,98108,649000,5,2.0,2000.0,1956.0,http://www.redfin.com/WA/Seattle/5937-23rd-Ave-S-98108/home/482397,47.548722999999995,-122.3045808
208,628 10th Ave E,98102,655000,2,1.75,1000.0,2019.0,http://www.redfin.com/WA/Seattle/628-10th-Ave-E-98102/home/170167247,47.6250461,-122.3196154
209,15442 SE 22nd Pl,98007,1050000,5,2.75,2700.0,1963.0,http://www.redfin.com/WA/Bellevue/15442-SE-22nd-Pl-98007/home/427575,47.5899525,-122.1330287
210,10406 11th Ave SW,98146,509900,3,2.0,1410.0,1959.0,http://www.redfin.com/WA/Seattle/10406-11th-Ave-SW-98146/home/183010,47.5099765,-122.3485578
211,921 B 10th Ave E,98102,829000,2,1.75,1467.0,2019.0,http://www.redfin.com/WA/Seattle/921-10th-Ave-E-98102/home/135777,47.6275236,-122.3205223
212,6700 NE 182nd St Unit D-201,98028,325000,2,1.75,924.0,1989.0,http://www.redfin.com/WA/Kenmore/6700-NE-182nd-St-98028/unit-D201/home/11904316,47.7621027,-122.2511185
213,14709 SE 272nd St,98042,90000,0,,,,http://www.redfin.com/WA/Kent/14709-SE-272nd-St-98042/home/113912280,47.357548200000004,-122.14481640000001
214,13707 SW 244th St,98070,440000,3,2.0,1196.0,2016.0,http://www.redfin.com/WA/Vashon/13707-SW-244th-St-98070/home/22230504,47.385285499999995,-122.5117949
215,4728 Delridge Way SW,98106,599950,3,2.25,1670.0,2017.0,http://www.redfin.com/WA/Seattle/4728-Delridge-Way-SW-98106/home/113995265,47.5601924,-122.3625239
216,320 Melrose Ave E #303,98102,385000,1,1.0,640.0,1966.0,http://www.redfin.com/WA/Seattle/320-Melrose-Ave-E-98102/unit-303/home/27836,47.6213326,-122.3276027
217,6747 15th Ave NW,98117,779950,2,3.0,2072.0,2019.0,http://www.redfin.com/WA/Seattle/6747-15th-Ave-NW-98117/home/170164039,47.679151399999995,-122.37700890000002
218,11407 SE 248th St,98030,749000,3,2.0,1780.0,1976.0,http://www.redfin.com/WA/Kent/11407-SE-248th-St-98030/home/401912,47.37931470000001,-122.18913119999999
219,12318 SE 255 St,98030,619950,4,3.5,3126.0,2019.0,http://www.redfin.com/WA/Kent/12318-SE-255th-St-98030/home/170162878,47.373658899999995,-122.1826334
220,16250 11th Ave NE,98155,750000,4,2.25,2580.0,1942.0,http://www.redfin.com/WA/Shoreline/16250-11th-Ave-NE-98155/home/86139,47.7475691,-122.3168148
221,4412 S Spencer,98118,405337,3,1.0,820.0,1958.0,http://www.redfin.com/WA/Seattle/4412-S-Spencer-St-98118/home/173477,47.5476032,-122.2775461
222,2804 SW 324th,98023,430000,4,2.0,1460.0,1966.0,http://www.redfin.com/WA/Federal-Way/2804-SW-324th-Pl-98023/home/354499,47.3114078,-122.36882209999999
223,30665 34th Pl S,98001,49975,0,,,,http://www.redfin.com/WA/Auburn/30665-34th-Pl-S-98001/home/170157844,47.3259101,-122.2896104
224,4561 33rd Ave S,98118,715000,4,3.75,2480.0,1905.0,http://www.redfin.com/WA/Seattle/4561-33rd-Ave-S-98118/home/172237,47.5610912,-122.29121119999999
225,30639 122nd Ave SE,98092,499950,5,2.5,3110.0,2005.0,http://www.redfin.com/WA/Auburn/30639-122-Ave-SE-98092/home/2070620,47.326845,-122.1801327
226,12228 47th Ave S,98178,350000,3,1.75,980.0,1943.0,http://www.redfin.com/WA/Seattle/12228-47th-Ave-S-98178/home/188331,47.493235399999996,-122.2746906
227,18428 NE 156th St,98072,110000,0,,,,http://www.redfin.com/WA/Woodinville/18428-NE-156th-St-98072/home/170157430,47.7407633,-122.09253580000001
228,4616 S 148 St,98168,909000,6,4.5,3618.0,2007.0,http://www.redfin.com/WA/Tukwila/4616-S-148th-St-98168/home/12303555,47.4708245,-122.27503370000001
229,11302 NE 117th St,98034,1000000,4,3.5,2601.0,1999.0,http://www.redfin.com/WA/Kirkland/11302-NE-117th-St-98034/unit-71/home/42501,47.7055271,-122.1896722
230,621 9th Ave,98104,3650000,0,,,,http://www.redfin.com/WA/Seattle/621-9th-Ave-98104/home/2063083,47.606024,-122.3256383
231,2829 SW 106th,98146,650000,4,3.0,1790.0,1998.0,http://www.redfin.com/WA/Seattle/2829-SW-106th-St-98146/home/179637,47.5079002,-122.3695369
232,19107 SE 314th Pl,98042,750000,4,2.5,2590.0,1997.0,http://www.redfin.com/WA/Kent/19107-SE-314th-Pl-98042/home/383450,47.318869,-122.09076100000001
233,1425 S Puget Dr Unit G3,98055,164000,1,1.5,800.0,1968.0,http://www.redfin.com/WA/Renton/1425-S-Puget-Dr-98055/unit-G3/home/27093,47.4602984,-122.19990700000001
234,29624 138th Ave SE,98092,280000,0,,,,http://www.redfin.com/WA/Auburn/29624-138th-Ave-SE-98092/home/2079147,47.335621200000006,-122.15746200000001
235,23709 228th Pl SE #107,98038,704950,4,3.0,3017.0,2020.0,http://www.redfin.com/WA/Maple-Valley/23709-228th-Pl-SE-98038/unit-107/home/170155012,47.3887,-122.035
236,11633 Rainier Ave S,98178,445000,3,1.75,1330.0,1945.0,http://www.redfin.com/WA/Seattle/11633-Rainier-Ave-S-98178/home/198465,47.4982482,-122.2206018
237,27120 123rd Place SE (Lot 7),98030,563950,4,2.75,2622.0,2020.0,http://www.redfin.com/WA/Kent/27120-123rd-Pl-SE-98030/home/160498517,47.35215529999999,-122.17678719999999
238,1718 Ferry Ave SW,98116,1799000,4,3.5,3524.0,2010.0,http://www.redfin.com/WA/Seattle/1718-Ferry-Ave-SW-98116/home/22618564,47.587807299999994,-122.3834585
239,1541 B 14th Ave S,98144,499950,2,1.75,966.0,2019.0,http://www.redfin.com/WA/Seattle/1541-14th-Ave-S-98144/home/168816984,47.5887886,-122.31516869999999
240,12015 9th Ct SW,98146,549500,1,2.25,1650.0,1976.0,http://www.redfin.com/WA/Seattle/12015-9th-Ct-SW-98146/home/181845,47.495152000000004,-122.34696389999999
241,16713 N Park Ave N,98133,449950,3,1.75,1060.0,1952.0,http://www.redfin.com/WA/Shoreline/16713-N-Park-Ave-N-98133/home/80772,47.750994899999995,-122.34981670000002
242,6506 38th Ave SW,98126,827000,3,1.75,2268.0,1937.0,http://www.redfin.com/WA/Seattle/6506-38th-Ave-SW-98126/home/468428,47.5444561,-122.38017930000001
243,6704 S 239th Pl Unit B-102,98032,295000,3,2.5,1305.0,1994.0,http://www.redfin.com/WA/Kent/6704-S-239th-Pl-98032/unit-B102/home/30893,47.3872475,-122.25070649999999
244,1377 Eagles Nest Pl SE #057,98045,830995,4,2.75,3266.0,2019.0,http://www.redfin.com/WA/North-Bend/1377-Eagles-Nest-Pl-SE-98045/unit-057/home/170153662,47.4762383,-121.7352392
245,10806 322nd Ave NE,98014,485000,3,1.75,1200.0,1990.0,http://www.redfin.com/WA/Carnation/10806-322nd-Ave-NE-98014/home/2070413,47.6940273,-121.90748570000001
246,29414 123rd (Lot 16) Pl SE,98092,539950,4,2.75,2855.0,2019.0,http://www.redfin.com/WA/Auburn/29414-123rd-Pl-SE-98092/home/22495076,47.3383496,-122.17659429999999
247,5603 42nd Ave SW,98136,1499000,3,3.5,3436.0,2020.0,http://www.redfin.com/WA/Seattle/5603-42nd-Ave-SW-98136/home/471301,47.5519554,-122.38585719999999
248,5317 S Roxbury St,98118,450000,3,1.0,1970.0,1907.0,http://www.redfin.com/WA/Seattle/5317-S-Roxbury-St-98118/home/176277,47.5167015,-122.26580790000001
249,3449 Elmont Ave #52,98022,487990,2,1.75,1824.0,2020.0,http://www.redfin.com/WA/Enumclaw/3449-Elmont-Ave-98022/unit-52/home/170153426,47.2029076,-122.01060559999999
250,701 Galer St #812,98109,675000,2,2.25,1329.0,1992.0,http://www.redfin.com/WA/Seattle/701-Galer-St-98109/unit-812/home/69411,47.6322026,-122.34295630000001
251,24904 122nd Pl SE,98030,599950,4,3.25,2575.0,2019.0,http://www.redfin.com/WA/Kent/24904-122nd-Pl-SE-98030/home/143457808,47.378634000000005,-122.17824499999999
252,9689 3rd Pl SW,98106,749900,4,2.5,2682.0,2020.0,http://www.redfin.com/WA/Seattle/9689-3rd-PL-SW-98106/home/170150470,47.515984,-122.339823
253,16009 SE 144th (Lot 20) St,98059,973995,4,2.75,3876.0,2019.0,http://www.redfin.com/WA/Renton/16009-SE-144th-St-98059/home/170150452,47.473532,-122.12632009999999
254,24932 123rd Pl SE,98030,579950,5,2.75,2973.0,2019.0,http://www.redfin.com/WA/Kent/24932-123rd-Pl-SE-98030/home/143457816,47.375064200000004,-122.17664170000002
255,27235 SE Grand Ridge Dr,98029,675000,0,,,,http://www.redfin.com/WA/Issaquah/27235-Grand-Ridge-Dr-98029/home/22440523,47.542928499999995,-121.9743038
256,12420 74th Ln S #6,98178,235000,3,1.5,1245.0,1980.0,http://www.redfin.com/WA/Tukwila/12420-74th-Ln-S-98178/unit-6/home/170155708,47.4926885,-122.24172250000001
257,22477 SE 42nd Ter SE,98029,450000,2,1.75,1604.0,1987.0,http://www.redfin.com/WA/Issaquah/22477-SE-42nd-Ter-98029/unit-1184/home/41278,47.5696937,-122.0390061
258,7756 B 4th Ave NE,98115,599000,2,1.0,800.0,2019.0,http://www.redfin.com/WA/Seattle/7756-4th-Ave-NE-98115/home/108760,47.686638,-122.323954
259,357 Military Rd S,98001,900000,0,,,,http://www.redfin.com/WA/Auburn/357-Military-Rd-S-Unknown/home/144438752,47.356767,-122.292992
260,2627 SW 100th St,98146,855000,4,2.75,2767.0,2020.0,http://www.redfin.com/WA/Seattle/2627-SW-100th-St-98146/home/170149617,47.5137096,-122.36613740000001
261,19933 SE 353rd St,98092,630000,4,2.5,2500.0,1977.0,http://www.redfin.com/WA/Auburn/19933-SE-353rd-St-98092/home/380522,47.284817700000005,-122.0760101
262,411 NE 80th St,98115,1249000,4,4.0,2768.0,2019.0,http://www.redfin.com/WA/Seattle/411-NE-80th-St-98115/home/170149504,47.6868016,-122.3237439
263,3227 Beacon Ave S Unit E,98144,665000,2,2.0,1495.0,2016.0,http://www.redfin.com/WA/Seattle/3227-Beacon-Ave-S-98144/unit-E/home/109969597,47.5742784,-122.3092537
264,35441 56th Ave S,98001,621595,5,2.75,2884.0,2020.0,http://www.redfin.com/WA/Auburn/35441-56th-Ave-S-98001/home/22697518,47.283573600000004,-122.26508740000001
265,626 66th Pl NE,98034,500000,0,,,,http://www.redfin.com/WA/Kirkland/626-66th-Pl-NE-98034/home/144679900,47.718957,-122.25478400000001
266,86 66th Pl NE,98034,500000,0,,,,http://www.redfin.com/WA/Kirkland/86-66th-Pl-NE-98034/home/144679892,47.719188,-122.257259
267,11 66th Pl NE,98034,1600000,0,,,,http://www.redfin.com/WA/Kirkland/11-66th-Pl-NE-98034/home/144679901,47.719331,-122.255481
268,2010 S Kent Des Moines Rd,98198,635000,3,1.0,780.0,1946.0,http://www.redfin.com/WA/Des-Moines/2010-Kent-Des-Moines-Rd-98198/home/200864,47.391400299999994,-122.30738899999999
269,4020 Aurora Ave N #205,98103,298880,0,1.0,366.0,2002.0,http://www.redfin.com/WA/Seattle/4020-Aurora-Ave-N-98103/unit-205/home/46212,47.6561593,-122.34679369999999
270,10251 NE 30th Pl,98004,2799000,4,3.5,4560.0,2006.0,http://www.redfin.com/WA/Bellevue/10251-NE-30th-Pl-98004/home/506459,47.6375969,-122.20237639999999
271,4811 42nd Ave SW,98116,999999,0,,,,http://www.redfin.com/WA/Seattle/4811-42nd-Ave-SW-98116/home/471225,47.5589151,-122.3859004
272,1601 N 45th St #311,98103,494950,1,1.0,781.0,2018.0,http://www.redfin.com/WA/Seattle/1601-N-45th-St-98103/unit-311/home/170148037,47.661246399999996,-122.338408
273,12516 NE 91 St,98033,1586000,4,2.75,2860.0,2019.0,http://www.redfin.com/WA/Kirkland/12516-NE-91st-St-98033/home/513057,47.6836398,-122.173749
274,23710 SE 243rd St,98038,639950,4,2.5,3120.0,2004.0,http://www.redfin.com/WA/Maple-Valley/23710-SE-243rd-St-98038/home/375736,47.3850272,-122.02530970000001
275,9215 9th Ave NW,98117,900000,5,2.0,2560.0,1924.0,http://www.redfin.com/WA/Seattle/9215-9th-Ave-NW-98117/home/101441,47.6965609,-122.36891329999999
276,31800 293rd Ave SE,98010,120000,0,,,,http://www.redfin.com/WA/Black-Diamond/31800-293rd-Ave-SE-98010/home/170142067,47.3154008,-121.95145729999999
277,29915 118th (Lot 152) Pl SE,98092,594950,4,2.75,3194.0,2019.0,http://www.redfin.com/WA/Auburn/29915-118th-Pl-SE-98092/home/22458325,47.3340883,-122.18386979999998
278,2960 SW Raymond St #304,98126,425000,2,1.75,1039.0,2007.0,http://www.redfin.com/WA/Seattle/2960-SW-Raymond-St-98126/unit-304/home/17064893,47.548645,-122.36945259999999
279,113 27th Ave E Unit A,98122,1075000,3,2.25,1927.0,2020.0,http://www.redfin.com/WA/Seattle/113-27th-Ave-E-98112/unit-A/home/170141939,47.6193634,-122.29757140000001
280,12049 16th Ave S,98168,455000,4,1.75,2120.0,1962.0,http://www.redfin.com/WA/Seattle/12049-16th-Ave-S-98168/home/190304,47.494281799999996,-122.31354950000001
281,6729 Mary Ave NW,98117,699950,3,2.5,1755.0,2019.0,http://www.redfin.com/WA/Seattle/6729-Mary-Ave-NW-98117/home/170141476,47.6786848,-122.3763631
282,20117 223rd Ave NE,98077,639900,0,,,,http://www.redfin.com/WA/Woodinville/20117-223rd-Ave-NE-98077/home/170141340,47.773689000000005,-122.04150359999998
283,14609 SE Fairwood Blvd,98058,530000,4,1.75,1580.0,1968.0,http://www.redfin.com/WA/Renton/14609-SE-Fairwood-Blvd-98058/home/233263,47.4518279,-122.14565290000002
284,1106 108th Ave NE #203,98004,798500,1,1.75,1251.0,2001.0,http://www.redfin.com/WA/Bellevue/1106-108th-Ave-NE-98004/unit-203/home/34923,47.620290000000004,-122.19594359999999
285,6638 119th Ave SE,98006,958000,3,2.75,2800.0,1978.0,http://www.redfin.com/WA/Bellevue/6638-119th-Ave-SE-98006/home/415813,47.542911100000005,-122.1814892
286,1706 SW 307th St Unit B,98023,252900,2,1.0,1042.0,1981.0,http://www.redfin.com/WA/Federal-Way/1706-SW-307th-St-98023/unit-B/home/145808984,47.3265991,-122.35676540000001
287,12463 177th Pl SE,98059,575000,5,2.0,2040.0,1968.0,http://www.redfin.com/WA/Renton/12463-177th-Pl-SE-98059/home/244902,47.4894811,-122.10461509999999
288,30612 34th Pl S,98001,185000,0,,,,http://www.redfin.com/WA/Auburn/30612-34th-Pl-S-98001/home/22479101,47.3274799,-122.28980990000002
289,3726 SW 313th St,98003,589950,4,3.5,3330.0,1987.0,http://www.redfin.com/WA/Federal-Way/3726-SW-313th-St-98023/home/352668,47.320045,-122.379552
290,8720 25th Ave NE,98115,799000,6,3.0,2460.0,1958.0,http://www.redfin.com/WA/Seattle/8720-25th-Ave-NE-98115/home/315208,47.6927223,-122.3012268
291,1200 Boylston Ave #603,98101,310000,1,1.0,570.0,1960.0,http://www.redfin.com/WA/Seattle/1200-Boylston-Ave-98101/unit-603/home/15577,47.6124744,-122.3229585
292,20199 SE Green Valley Rd,98092,79975,0,,,,http://www.redfin.com/WA/Auburn/20199-SE-Green-Valley-Rd-98092/home/170136309,47.286502299999995,-122.07266170000001
293,2921 14th Ave S,98144,995000,3,1.75,2200.0,1921.0,http://www.redfin.com/WA/Seattle/2921-14th-Ave-S-98144/home/167603,47.577028799999994,-122.3149126
294,3226 S 184th St #261,98188,75000,2,1.75,1100.0,1969.0,http://www.redfin.com/WA/Seattle/3226-S-184th-St-98188/unit-261/home/145241744,47.4383044,-122.28996299999999
295,26810 NE Big Rock Rd #101,98019,579995,4,3.0,2056.0,2019.0,http://www.redfin.com/WA/Duvall/26810-NE-Big-Rock-Rd-98019/unit-101/home/170132238,47.7257054,-121.9801729
296,12308 87th Ct NE,98034,1050000,4,2.75,3090.0,1969.0,http://www.redfin.com/WA/Kirkland/12308-87th-Ct-NE-98034/home/282430,47.710744399999996,-122.2246392
297,14002 3rd Ave NE #104,98019,519995,4,3.0,2043.0,2019.0,http://www.redfin.com/WA/Duvall/14002-3rd-Ave-NE-98019/unit-104/home/170132172,47.7298195,-121.9801669
298,15625 42 Ave S #5,98188,230000,2,1.5,904.0,1980.0,http://www.redfin.com/WA/Tukwila/15625-42nd-Ave-S-98188/unit-5/home/724,47.462596600000005,-122.28161909999999
299,28117 316th Way SE,98051,549999,0,,,,http://www.redfin.com/WA/Ravensdale/28117-316th-Way-SE-98051/home/109660227,47.3497566,-121.930748
300,10515 Woodinville Dr #20,98011,35000,2,1.0,768.0,1971.0,http://www.redfin.com/WA/Bothell/10515-Woodinville-Dr-98011/unit-20/home/167080910,47.7580768,-122.1996656
301,7331 Thompson Ave SE,98065,670000,3,2.5,2070.0,2000.0,http://www.redfin.com/WA/Snoqualmie/7331-Thompson-Ave-SE-98065/home/466571,47.534672,-121.87686880000001
